"C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M","GEO_ID","NAME"
"451","147","207","101","54","43","10","16","10","16","0","12","8","14","8","14","0","12","0","12","36","36","12","22","0","12","24","31","0","12","0","12","0","12","0","12","39","45","0","12","0","12","0","12","0","12","0","12","39","45","0","12","72","53","15","20","57","53","32","33","0","12","0","12","32","33","10","17","10","17","0","12","0","12","244","77","47","34","31","26","20","21","11","16","0","12","0","12","0","12","0","12","7","18","0","12","0","12","7","18","0","12","9","15","9","15","0","12","85","54","0","12","0","12","0","12","0","12","34","37","16","20","35","35","102","57","52","47","50","50","0","12","0","12","0","12","0","12","10","16","10","16","0","12","0","12","1500000US530530635012","Block Group 2, Census Tract 635.01, Pierce County, Washington"
"430","125","179","60","23","25","23","25","10","16","13","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","29","12","19","8","13","0","12","8","13","0","12","7","13","7","13","50","35","7","14","43","35","0","12","0","12","0","12","0","12","72","51","0","12","30","35","42","36","251","81","97","51","14","21","14","21","0","12","32","26","7","10","7","12","18","23","21","23","0","12","10","15","11","18","0","12","30","35","10","15","20","31","39","34","8","12","0","12","0","12","0","12","0","12","10","17","21","25","83","45","19","24","64","42","0","12","0","12","0","12","0","12","32","32","32","32","0","12","0","12","1500000US530530635013","Block Group 3, Census Tract 635.01, Pierce County, Washington"
"688","259","299","194","25","28","9","16","9","16","0","12","5","8","0","12","5","8","0","12","11","21","0","12","0","12","11","21","0","12","0","12","0","12","0","12","131","111","56","82","0","12","0","12","0","12","8","13","67","77","0","12","46","47","0","12","46","47","85","120","0","12","85","120","0","12","12","15","8","12","4","8","0","12","389","190","40","31","8","13","0","12","8","13","0","12","0","12","0","12","0","12","13","16","0","12","0","12","8","14","5","9","19","23","0","12","19","23","200","145","40","49","0","12","0","12","0","12","23","27","38","41","99","107","122","74","90","67","32","38","0","12","0","12","0","12","0","12","27","43","27","43","0","12","0","12","1500000US530530635014","Block Group 4, Census Tract 635.01, Pierce County, Washington"
"560","207","253","114","87","67","27","32","17","27","10","16","0","12","0","12","0","12","0","12","38","57","38","57","0","12","0","12","0","12","22","31","22","31","0","12","37","32","0","12","0","12","0","12","0","12","17","25","0","12","20","22","30","34","18","28","12","20","80","82","14","20","47","74","19","23","19","23","0","12","19","23","0","12","307","109","110","69","31","40","31","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","79","62","48","56","31","28","126","75","5","12","0","12","0","12","0","12","40","43","0","12","81","82","61","38","31","36","30","34","0","12","0","12","0","12","0","12","10","17","0","12","0","12","10","17","1500000US530530635021","Block Group 1, Census Tract 635.02, Pierce County, Washington"
"1056","217","525","125","158","81","12","20","0","12","12","20","21","20","0","12","21","20","0","12","87","66","49","57","0","12","27","27","11","19","38","35","23","26","15","25","69","55","0","12","0","12","0","12","0","12","28","32","22","34","19","25","66","37","21","23","45","29","66","32","0","12","28","24","38","26","166","74","51","38","48","35","67","58","531","125","93","58","35","35","10","17","25","30","0","12","0","12","0","12","0","12","41","37","10","19","0","12","20","23","11","17","17","19","10","16","7","12","174","94","14","15","7","15","7","15","0","12","27","26","21","23","105","87","189","81","43","40","146","67","0","12","0","12","0","12","0","12","75","46","19","22","11","17","45","41","1500000US530530635022","Block Group 2, Census Tract 635.02, Pierce County, Washington"
"734","212","347","118","35","30","20","22","7","12","13","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","19","0","12","15","19","105","67","23","37","44","51","10","15","34","48","11","16","27","24","0","12","73","65","13","19","60","61","56","62","0","12","10","18","46","59","78","66","11","16","67","62","0","12","387","135","51","57","37","52","37","52","0","12","0","12","0","12","0","12","0","12","7","11","7","11","0","12","0","12","0","12","7","11","7","11","0","12","127","59","25","27","0","12","0","12","0","12","51","36","8","11","43","34","180","98","62","48","118","88","0","12","0","12","0","12","0","12","29","27","12","18","8","13","9","14","1500000US530530635023","Block Group 3, Census Tract 635.02, Pierce County, Washington"
"340","139","159","73","13","16","9","15","9","15","0","12","2","5","1","2","0","12","1","4","0","12","0","12","0","12","0","12","0","12","2","3","0","12","2","3","28","25","0","12","0","12","0","12","0","12","0","12","25","25","3","4","18","21","2","3","16","21","69","53","52","51","17","17","0","12","31","20","17","15","8","8","6","10","181","105","84","83","32","33","1","2","31","33","0","12","0","12","0","12","0","12","49","79","0","12","0","12","0","12","49","79","3","5","1","3","2","4","29","23","13","18","12","15","12","15","0","12","2","3","0","12","2","5","68","43","42","32","26","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530701001","Block Group 1, Census Tract 701, Pierce County, Washington"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530701002","Block Group 2, Census Tract 701, Pierce County, Washington"
"810","230","391","120","118","47","68","38","64","38","4","7","32","29","23","26","9","15","0","12","18","21","13","19","0","12","5","9","0","12","0","12","0","12","0","12","39","61","0","12","0","12","0","12","0","12","39","61","0","12","0","12","39","34","23","25","16","25","127","64","0","12","41","32","86","63","68","52","13","20","55","48","0","12","419","141","155","65","83","56","75","54","8","13","0","12","0","12","0","12","0","12","39","29","6","9","0","12","33","28","0","12","33","37","9","15","24","35","107","64","0","12","23","37","23","37","0","12","37","37","0","12","47","53","131","81","99","75","32","30","0","12","0","12","0","12","0","12","26","22","8","12","8","12","10","15","1500000US530530701003","Block Group 3, Census Tract 701, Pierce County, Washington"
"750","165","380","105","127","58","61","43","40","36","21","23","33","29","9","14","0","12","24","26","33","35","0","12","0","12","10","14","23","32","0","12","0","12","0","12","34","34","0","12","0","12","0","12","0","12","21","28","13","20","0","12","69","70","16","24","53","64","91","46","0","12","27","25","64","41","59","53","10","16","49","50","0","12","370","99","105","70","58","54","0","12","58","54","0","12","0","12","0","12","0","12","47","45","0","12","0","12","47","45","0","12","0","12","0","12","0","12","112","62","20","21","17","26","17","26","0","12","46","49","0","12","29","27","103","61","4","6","99","61","0","12","0","12","0","12","0","12","50","39","50","39","0","12","0","12","1500000US530530701004","Block Group 4, Census Tract 701, Pierce County, Washington"
"1365","295","720","176","277","109","174","73","149","72","25","23","41","30","18","20","23","21","0","12","62","65","46","60","0","12","7","13","9","16","0","12","0","12","0","12","61","43","0","12","54","42","0","12","54","42","0","12","0","12","7","12","147","91","127","87","20","22","155","71","17","19","41","32","97","62","80","50","54","36","26","36","0","12","645","164","301","100","135","73","115","71","20","22","0","12","0","12","0","12","0","12","78","57","19","30","0","12","49","45","10","16","88","58","79","57","9","14","117","79","12","19","7","11","0","12","7","11","9","13","47","69","42","35","208","79","114","58","94","54","0","12","0","12","0","12","0","12","19","23","10","17","0","12","9","14","1500000US530530702031","Block Group 1, Census Tract 702.03, Pierce County, Washington"
"1342","212","740","122","175","63","85","44","51","46","34","33","62","48","18","21","44","43","0","12","28","24","0","12","0","12","21","21","7","11","0","12","0","12","0","12","58","45","0","12","26","23","11","17","15","17","24","27","8","14","0","12","134","74","71","55","63","53","170","67","0","12","86","55","84","47","203","92","105","57","59","46","39","32","602","149","94","44","35","28","18","21","17","19","0","12","0","12","0","12","0","12","34","27","0","12","0","12","25","24","9","13","25","24","25","24","0","12","159","79","81","57","0","12","0","12","0","12","33","39","31","38","14","15","287","112","53","36","234","109","0","12","0","12","0","12","0","12","62","48","22","25","17","20","23","32","1500000US530530702032","Block Group 2, Census Tract 702.03, Pierce County, Washington"
"305","112","146","79","28","33","28","33","28","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","10","0","12","6","10","6","10","0","12","0","12","0","12","0","12","29","26","0","12","29","26","66","53","0","12","58","52","8","12","17","18","17","18","0","12","0","12","159","59","62","45","51","42","0","12","51","42","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","11","18","0","12","11","18","0","12","0","12","0","12","0","12","0","12","11","18","0","12","52","35","0","12","52","35","0","12","0","12","0","12","0","12","34","32","34","32","0","12","0","12","1500000US530530702033","Block Group 3, Census Tract 702.03, Pierce County, Washington"
"634","145","390","106","39","31","19","23","19","23","0","12","11","17","0","12","11","17","0","12","0","12","0","12","0","12","0","12","0","12","9","14","0","12","9","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","71","42","12","19","59","39","135","83","0","12","89","62","46","47","145","66","57","37","67","43","21","30","244","68","118","53","37","26","37","26","0","12","19","21","0","12","0","12","19","21","39","32","9","15","0","12","30","29","0","12","23","18","17","18","6","9","71","45","47","40","0","12","0","12","0","12","8","14","16","17","0","12","55","35","14","15","41","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530702041","Block Group 1, Census Tract 702.04, Pierce County, Washington"
"1107","271","557","168","84","47","49","30","14","18","35","24","35","37","27","33","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","27","0","12","0","12","0","12","0","12","0","12","7","11","23","24","52","48","28","42","24","29","236","119","0","12","164","96","72","59","155","77","39","27","40","27","76","70","550","145","128","70","40","28","21","21","19","21","14","19","7","13","0","12","7","14","51","62","0","12","0","12","51","62","0","12","23","23","23","23","0","12","123","73","14","21","10","14","10","14","0","12","60","55","12","21","27","30","266","110","47","36","219","104","0","12","0","12","0","12","0","12","33","42","27","40","6","11","0","12","1500000US530530702042","Block Group 2, Census Tract 702.04, Pierce County, Washington"
"1152","158","627","104","134","55","62","46","47","40","15","24","63","39","18","20","34","32","11","20","9","14","9","14","0","12","0","12","0","12","0","12","0","12","0","12","92","62","0","12","40","42","0","12","40","42","12","18","31","38","9","15","38","33","0","12","38","33","248","84","0","12","126","63","122","67","115","56","63","47","33","26","19","22","525","119","148","63","11","19","11","19","0","12","10","16","10","16","0","12","0","12","118","61","8","13","0","12","53","36","57","46","9","13","9","13","0","12","134","69","0","12","0","12","0","12","0","12","32","26","0","12","102","65","217","88","27","30","190","88","0","12","0","12","0","12","0","12","26","26","13","21","13","16","0","12","1500000US530530702051","Block Group 1, Census Tract 702.05, Pierce County, Washington"
"493","151","254","74","48","52","48","52","43","51","5","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","8","0","12","0","12","0","12","0","12","0","12","5","8","0","12","38","39","6","11","32","37","86","39","20","19","38","25","28","28","77","57","0","12","52","47","25","29","239","100","28","26","17","21","4","8","13","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","11","17","0","12","67","39","25","19","0","12","0","12","0","12","8","14","0","12","34","31","137","74","59","47","78","55","0","12","0","12","0","12","0","12","7","11","6","12","0","12","1","3","1500000US530530702052","Block Group 2, Census Tract 702.05, Pierce County, Washington"
"821","137","432","85","98","54","56","48","54","49","2","3","11","12","9","11","2","3","0","12","22","22","19","21","0","12","3","4","0","12","9","10","6","9","3","5","46","31","0","12","18","21","4","5","14","20","5","9","23","20","0","12","107","38","81","34","26","21","98","35","8","9","69","31","21","17","83","44","22","21","35","24","26","31","389","68","129","40","59","35","46","32","13","12","4","6","0","12","4","6","0","12","55","29","5","8","0","12","43","27","7","9","11","10","11","10","0","12","79","43","20","18","0","12","0","12","0","12","17","16","5","6","37","33","178","50","52","30","126","52","1","3","0","12","0","12","1","3","2","4","2","4","0","12","0","12","1500000US530530702061","Block Group 1, Census Tract 702.06, Pierce County, Washington"
"669","181","346","82","60","31","37","27","37","27","0","12","16","13","0","12","16","13","0","12","1","3","0","12","0","12","1","3","0","12","6","7","0","12","6","7","16","16","0","12","1","3","1","3","0","12","1","3","14","14","0","12","68","44","22","20","46","46","130","51","0","12","43","20","87","45","72","26","27","18","15","15","30","17","323","108","154","55","87","44","41","26","46","38","29","24","9","13","0","12","20","21","25","19","9","14","0","12","16","13","0","12","13","16","2","4","11","16","55","35","38","33","0","12","0","12","0","12","5","9","0","12","12","7","106","69","19","18","87","71","7","10","0","12","7","10","0","12","1","3","0","12","1","3","0","12","1500000US530530702062","Block Group 2, Census Tract 702.06, Pierce County, Washington"
"443","96","239","59","69","32","35","31","35","31","0","12","8","13","0","12","8","13","0","12","23","30","0","12","0","12","19","30","4","6","3","5","0","12","3","5","27","18","0","12","9","12","9","12","0","12","6","9","12","12","0","12","25","24","14","21","11","13","43","22","6","9","23","18","14","15","75","36","27","21","46","32","2","3","204","63","76","47","13","13","13","13","0","12","41","43","41","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","19","14","16","8","11","24","18","7","8","0","12","0","12","0","12","10","11","4","6","3","6","100","53","44","32","56","38","0","12","0","12","0","12","0","12","4","6","0","12","4","6","0","12","1500000US530530702063","Block Group 3, Census Tract 702.06, Pierce County, Washington"
"522","167","338","130","70","63","49","54","27","40","22","36","0","12","0","12","0","12","0","12","21","34","21","34","0","12","0","12","0","12","0","12","0","12","0","12","39","31","12","18","0","12","0","12","0","12","0","12","27","26","0","12","26","24","26","24","0","12","116","110","0","12","25","40","91","105","87","63","7","12","37","43","43","65","184","91","68","52","33","39","25","38","8","12","7","10","7","10","0","12","0","12","28","40","0","12","0","12","28","40","0","12","0","12","0","12","0","12","36","37","0","12","0","12","0","12","0","12","28","34","8","14","0","12","57","48","0","12","57","48","0","12","0","12","0","12","0","12","23","32","5","9","18","31","0","12","1500000US530530702071","Block Group 1, Census Tract 702.07, Pierce County, Washington"
"624","145","331","82","151","55","77","50","56","42","21","35","38","29","27","24","0","12","11","16","36","26","0","12","0","12","36","26","0","12","0","12","0","12","0","12","61","48","24","37","20","23","20","23","0","12","9","15","8","13","0","12","15","17","15","17","0","12","37","37","0","12","16","18","21","33","67","45","25","22","24","38","18","22","293","86","115","58","43","41","21","34","22","20","9","15","9","15","0","12","0","12","52","35","0","12","0","12","52","35","0","12","11","16","11","16","0","12","62","47","11","18","0","12","0","12","0","12","8","11","22","35","21","22","95","49","15","18","80","45","21","33","0","12","0","12","21","33","0","12","0","12","0","12","0","12","1500000US530530702072","Block Group 2, Census Tract 702.07, Pierce County, Washington"
"344","117","183","77","37","37","0","12","0","12","0","12","6","10","0","12","6","10","0","12","31","37","21","33","0","12","10","17","0","12","0","12","0","12","0","12","54","35","0","12","28","23","28","23","0","12","11","17","15","17","0","12","44","37","7","11","37","34","17","15","0","12","10","15","7","12","31","24","31","24","0","12","0","12","161","67","57","41","34","33","28","32","6","9","0","12","0","12","0","12","0","12","23","22","0","12","0","12","23","22","0","12","0","12","0","12","0","12","46","38","16","17","0","12","0","12","0","12","19","31","0","12","11","16","41","27","10","16","31","26","0","12","0","12","0","12","0","12","17","26","17","26","0","12","0","12","1500000US530530702073","Block Group 3, Census Tract 702.07, Pierce County, Washington"
"678","204","336","105","31","37","0","12","0","12","0","12","8","12","0","12","8","12","0","12","0","12","0","12","0","12","0","12","0","12","23","36","23","36","0","12","21","19","0","12","0","12","0","12","0","12","13","21","8","12","0","12","74","62","34","38","40","48","113","74","0","12","99","72","14","16","97","65","61","57","36","39","0","12","342","144","122","67","77","56","45","51","32","26","0","12","0","12","0","12","0","12","38","45","16","27","0","12","22","36","0","12","7","11","7","11","0","12","116","105","0","12","0","12","0","12","0","12","61","63","0","12","55","56","97","58","25","31","72","55","0","12","0","12","0","12","0","12","7","12","7","12","0","12","0","12","1500000US530530702074","Block Group 4, Census Tract 702.07, Pierce County, Washington"
"439","124","262","74","94","39","76","38","67","38","9","14","9","15","0","12","9","15","0","12","9","13","0","12","0","12","9","13","0","12","0","12","0","12","0","12","32","28","0","12","32","28","15","18","17","22","0","12","0","12","0","12","52","39","45","38","7","11","43","44","0","12","28","39","15","24","41","43","41","43","0","12","0","12","177","73","69","49","9","14","9","14","0","12","0","12","0","12","0","12","0","12","48","43","25","38","0","12","23","22","0","12","12","18","0","12","12","18","10","16","0","12","10","16","0","12","10","16","0","12","0","12","0","12","93","57","24","28","69","50","0","12","0","12","0","12","0","12","5","10","0","12","5","10","0","12","1500000US530530703071","Block Group 1, Census Tract 703.07, Pierce County, Washington"
"850","176","418","88","251","78","195","75","175","76","20","24","30","27","14","21","16","17","0","12","7","11","0","12","0","12","7","11","0","12","19","22","19","22","0","12","10","15","0","12","10","15","0","12","10","15","0","12","0","12","0","12","50","39","39","29","11","17","39","31","0","12","39","31","0","12","68","45","19","22","35","28","14","23","432","110","221","94","71","53","60","51","11","16","24","25","24","25","0","12","0","12","119","81","23","38","25","29","36","31","35","53","7","11","0","12","7","11","67","40","0","12","29","45","29","45","0","12","19","21","8","12","11","17","108","52","90","48","18","20","0","12","0","12","0","12","0","12","36","28","10","15","26","24","0","12","1500000US530530703072","Block Group 2, Census Tract 703.07, Pierce County, Washington"
"1245","201","710","126","226","73","157","58","148","59","9","13","36","29","27","27","9","13","0","12","33","29","0","12","0","12","33","29","0","12","0","12","0","12","0","12","59","39","0","12","21","24","0","12","21","24","16","23","12","18","10","14","188","86","153","79","35","33","90","41","0","12","42","32","48","31","147","67","69","50","58","52","20","22","535","116","323","98","146","76","121","71","25","30","22","25","11","16","11","18","0","12","98","51","11","18","0","12","71","42","16","19","57","47","40","48","17","20","87","60","0","12","11","18","0","12","11","18","68","56","0","12","8","13","101","44","29","25","72","37","0","12","0","12","0","12","0","12","24","27","0","12","0","12","24","27","1500000US530530703073","Block Group 3, Census Tract 703.07, Pierce County, Washington"
"902","167","562","139","195","70","97","49","62","42","35","32","50","39","22","34","14","19","14","14","48","46","0","12","0","12","48","46","0","12","0","12","0","12","0","12","66","51","0","12","18","19","0","12","18","19","25","37","23","27","0","12","113","59","61","44","52","51","102","85","1","3","4","7","97","84","86","42","39","32","35","24","12","19","340","76","126","50","48","31","32","25","16","17","0","12","0","12","0","12","0","12","60","39","10","15","10","17","30","26","10","16","18","22","0","12","18","22","51","40","20","24","0","12","0","12","0","12","9","13","0","12","22","29","136","62","52","35","84","59","27","35","0","12","27","35","0","12","0","12","0","12","0","12","0","12","1500000US530530703081","Block Group 1, Census Tract 703.08, Pierce County, Washington"
"904","161","549","124","167","85","73","59","41","24","32","50","62","50","9","14","46","46","7","12","32","29","12","18","0","12","9","14","11","16","0","12","0","12","0","12","14","22","0","12","0","12","0","12","0","12","14","22","0","12","0","12","51","39","44","38","7","11","144","69","0","12","88","50","56","35","173","80","63","41","70","62","40","33","355","106","99","54","31","35","29","35","2","5","0","12","0","12","0","12","0","12","57","35","0","12","12","17","45","32","0","12","11","16","11","16","0","12","103","82","32","31","0","12","0","12","0","12","17","21","0","12","54","57","127","59","30","32","97","48","0","12","0","12","0","12","0","12","26","26","0","12","16","22","10","16","1500000US530530703082","Block Group 2, Census Tract 703.08, Pierce County, Washington"
"676","226","359","151","85","66","71","66","71","66","0","12","14","22","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","51","65","0","12","38","60","38","60","0","12","13","21","0","12","0","12","103","92","103","92","0","12","63","50","32","50","13","21","18","29","57","50","33","41","24","29","0","12","317","122","122","87","90","78","36","36","54","76","0","12","0","12","0","12","0","12","32","35","0","12","0","12","32","35","0","12","0","12","0","12","0","12","29","35","0","12","0","12","0","12","0","12","0","12","17","28","12","19","166","86","44","41","122","79","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530703091","Block Group 1, Census Tract 703.09, Pierce County, Washington"
"1009","231","541","148","127","73","40","40","40","40","0","12","43","42","9","15","34","39","0","12","28","32","14","24","0","12","14","22","0","12","16","25","16","25","0","12","34","38","0","12","0","12","0","12","0","12","18","30","16","24","0","12","161","86","93","74","68","64","153","84","0","12","40","40","113","77","66","66","13","21","36","57","17","27","468","126","275","107","74","56","25","29","49","47","0","12","0","12","0","12","0","12","141","91","13","21","0","12","78","68","50","70","60","50","16","25","44","42","33","35","17","26","0","12","0","12","0","12","0","12","0","12","16","25","129","69","54","47","75","57","16","25","0","12","0","12","16","25","15","24","0","12","15","24","0","12","1500000US530530703092","Block Group 2, Census Tract 703.09, Pierce County, Washington"
"821","194","508","142","116","80","22","31","22","31","0","12","78","67","0","12","78","67","0","12","16","25","16","25","0","12","0","12","0","12","0","12","0","12","0","12","9","20","0","12","0","12","0","12","0","12","0","12","9","20","0","12","57","45","43","36","14","24","138","95","0","12","119","96","19","32","188","107","69","70","82","58","37","59","313","114","101","66","26","31","16","26","10","18","0","12","0","12","0","12","0","12","15","23","0","12","0","12","0","12","15","23","60","51","46","44","14","23","129","89","11","20","0","12","0","12","0","12","75","74","16","25","27","33","73","45","19","30","54","34","0","12","0","12","0","12","0","12","10","17","0","12","10","17","0","12","1500000US530530703093","Block Group 3, Census Tract 703.09, Pierce County, Washington"
"972","174","496","100","84","44","51","27","30","25","21","21","12","20","12","20","0","12","0","12","21","26","0","12","0","12","12","20","9","16","0","12","0","12","0","12","50","41","0","12","12","20","12","20","0","12","6","10","32","34","0","12","155","80","95","69","60","47","67","39","0","12","41","33","26","23","140","59","56","40","39","36","45","33","476","106","160","60","66","46","34","29","32","35","0","12","0","12","0","12","0","12","65","44","0","12","11","20","38","31","16","24","29","26","22","25","7","11","110","51","14","19","0","12","0","12","0","12","10","15","0","12","86","45","174","70","73","44","101","57","21","23","0","12","0","12","21","23","11","17","11","17","0","12","0","12","1500000US530530703101","Block Group 1, Census Tract 703.10, Pierce County, Washington"
"485","172","310","113","77","87","31","45","31","45","0","12","0","12","0","12","0","12","0","12","46","72","0","12","0","12","0","12","46","72","0","12","0","12","0","12","9","14","0","12","0","12","0","12","0","12","0","12","9","14","0","12","52","41","0","12","52","41","63","65","0","12","63","65","0","12","109","68","33","31","48","46","28","44","175","87","53","55","22","28","0","12","22","28","0","12","0","12","0","12","0","12","31","45","0","12","0","12","31","45","0","12","0","12","0","12","0","12","21","23","12","18","0","12","0","12","0","12","9","15","0","12","0","12","101","76","30","43","71","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530703102","Block Group 2, Census Tract 703.10, Pierce County, Washington"
"875","127","476","84","119","57","63","43","57","42","6","10","44","36","20","27","24","24","0","12","7","12","0","12","0","12","7","12","0","12","5","9","5","9","0","12","74","40","0","12","28","23","7","11","21","19","26","29","20","22","0","12","98","61","91","59","7","11","78","46","0","12","27","29","51","39","107","63","49","34","34","40","24","38","399","77","178","62","63","42","43","37","20","23","0","12","0","12","0","12","0","12","89","48","17","16","0","12","72","49","0","12","26","26","21","24","5","9","53","36","6","11","6","10","0","12","6","10","9","14","10","15","22","25","135","51","30","27","105","49","6","9","0","12","0","12","6","9","27","25","27","25","0","12","0","12","1500000US530530703103","Block Group 3, Census Tract 703.10, Pierce County, Washington"
"273","141","156","69","15","16","0","12","0","12","0","12","15","16","15","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","41","0","12","27","39","27","39","0","12","0","12","10","15","0","12","12","16","5","9","7","13","42","43","26","36","16","25","0","12","50","47","0","12","50","47","0","12","117","95","32","42","5","7","0","12","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","27","40","0","12","27","40","30","37","30","37","0","12","0","12","0","12","0","12","0","12","0","12","55","54","8","13","47","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530703104","Block Group 4, Census Tract 703.10, Pierce County, Washington"
"791","161","472","107","60","35","34","24","26","20","8","14","17","21","17","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","0","12","9","14","50","49","0","12","10","17","10","17","0","12","15","22","25","40","0","12","107","66","39","31","68","57","137","76","0","12","103","74","34","28","118","62","74","58","8","13","36","30","319","82","110","57","64","49","10","17","54","53","14","18","14","18","0","12","0","12","17","18","0","12","0","12","10","15","7","10","15","17","15","17","0","12","58","40","0","12","0","12","0","12","0","12","47","36","0","12","11","18","61","33","12","18","49","28","0","12","0","12","0","12","0","12","90","76","41","51","15","16","34","54","1500000US530530703111","Block Group 1, Census Tract 703.11, Pierce County, Washington"
"712","119","449","97","119","59","80","63","73","62","7","11","30","25","10","16","20","18","0","12","0","12","0","12","0","12","0","12","0","12","9","14","9","14","0","12","29","34","0","12","29","34","9","14","20","32","0","12","0","12","0","12","54","35","25","21","29","27","126","79","0","12","54","58","72","54","121","61","92","54","23","23","6","10","263","73","79","45","21","23","0","12","21","23","6","12","6","12","0","12","0","12","15","17","0","12","0","12","15","17","0","12","37","30","27","25","10","16","62","44","9","15","6","11","0","12","6","11","24","37","0","12","23","18","105","59","33","27","72","54","0","12","0","12","0","12","0","12","17","19","0","12","8","12","9","14","1500000US530530703112","Block Group 2, Census Tract 703.11, Pierce County, Washington"
"828","193","460","114","129","53","99","50","66","38","33","40","9","15","9","15","0","12","0","12","14","15","0","12","0","12","7","11","7","11","7","11","0","12","7","11","73","59","7","10","11","19","11","19","0","12","9","15","46","56","0","12","56","31","33","27","23","20","108","49","0","12","46","35","62","34","94","74","44","35","31","47","19","27","368","110","139","57","64","38","29","27","35","27","0","12","0","12","0","12","0","12","56","38","6","11","0","12","32","26","18","20","19","21","0","12","19","21","34","31","17","22","0","12","0","12","0","12","17","20","0","12","0","12","164","93","94","89","70","38","0","12","0","12","0","12","0","12","31","23","24","20","7","10","0","12","1500000US530530703113","Block Group 3, Census Tract 703.11, Pierce County, Washington"
