Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",id,Geographic Area Name
2240,417,2023,409,0,12,51,46,41,51,0,12,0,12,125,107,0,12,125,107,1500000US530530702042,"Block Group 2, Census Tract 702.04, Pierce County, Washington"
2325,268,2084,298,0,12,22,36,0,12,0,12,111,130,108,95,0,12,108,95,1500000US530530702051,"Block Group 1, Census Tract 702.05, Pierce County, Washington"
895,216,857,204,0,12,0,12,0,12,0,12,0,12,38,48,0,12,38,48,1500000US530530702052,"Block Group 2, Census Tract 702.05, Pierce County, Washington"
1699,277,1655,272,18,19,3,6,0,12,0,12,0,12,23,31,0,12,23,31,1500000US530530702061,"Block Group 1, Census Tract 702.06, Pierce County, Washington"
1305,269,1266,268,1,3,2,5,0,12,0,12,0,12,36,36,0,12,36,36,1500000US530530702062,"Block Group 2, Census Tract 702.06, Pierce County, Washington"
1038,228,999,222,9,12,0,12,2,3,0,12,8,13,20,18,0,12,20,18,1500000US530530702063,"Block Group 3, Census Tract 702.06, Pierce County, Washington"
1178,351,973,298,0,12,56,77,0,12,0,12,0,12,149,211,0,12,149,211,1500000US530530702071,"Block Group 1, Census Tract 702.07, Pierce County, Washington"
1409,326,1354,314,12,17,11,18,8,13,0,12,0,12,24,38,0,12,24,38,1500000US530530702072,"Block Group 2, Census Tract 702.07, Pierce County, Washington"
1184,316,1147,309,10,22,0,12,19,25,0,12,0,12,8,12,0,12,8,12,1500000US530530702073,"Block Group 3, Census Tract 702.07, Pierce County, Washington"
1402,323,1227,317,0,12,0,12,0,12,0,12,9,15,166,136,0,12,166,136,1500000US530530702074,"Block Group 4, Census Tract 702.07, Pierce County, Washington"
1073,274,976,253,0,12,0,12,63,71,0,12,0,12,34,34,6,11,28,33,1500000US530530703071,"Block Group 1, Census Tract 703.07, Pierce County, Washington"
1895,387,1857,389,0,12,0,12,28,25,0,12,0,12,10,15,0,12,10,15,1500000US530530703072,"Block Group 2, Census Tract 703.07, Pierce County, Washington"
2309,307,2227,312,0,12,0,12,64,90,9,16,0,12,9,14,0,12,9,14,1500000US530530703073,"Block Group 3, Census Tract 703.07, Pierce County, Washington"
1830,287,1729,270,38,41,1,3,10,16,0,12,1,3,51,43,0,12,51,43,1500000US530530703081,"Block Group 1, Census Tract 703.08, Pierce County, Washington"
1726,269,1658,280,10,16,0,12,34,59,0,12,0,12,24,31,19,29,5,9,1500000US530530703082,"Block Group 2, Census Tract 703.08, Pierce County, Washington"
1031,295,912,246,38,60,0,12,0,12,81,121,0,12,0,12,0,12,0,12,1500000US530530703091,"Block Group 1, Census Tract 703.09, Pierce County, Washington"
2072,342,1703,324,65,65,24,27,71,76,0,12,17,29,192,199,0,12,192,199,1500000US530530703092,"Block Group 2, Census Tract 703.09, Pierce County, Washington"
2170,413,2108,419,0,12,0,12,9,21,0,12,12,21,41,52,0,12,41,52,1500000US530530703093,"Block Group 3, Census Tract 703.09, Pierce County, Washington"
1914,306,1664,283,54,65,10,14,8,14,0,12,0,12,178,144,0,12,178,144,1500000US530530703101,"Block Group 1, Census Tract 703.10, Pierce County, Washington"
739,223,605,200,0,12,17,26,12,18,0,12,87,125,18,28,0,12,18,28,1500000US530530703102,"Block Group 2, Census Tract 703.10, Pierce County, Washington"
1941,267,1753,255,0,12,16,25,51,78,0,12,0,12,121,115,0,12,121,115,1500000US530530703103,"Block Group 3, Census Tract 703.10, Pierce County, Washington"
728,288,634,270,0,12,0,12,0,12,0,12,0,12,94,97,0,12,94,97,1500000US530530703104,"Block Group 4, Census Tract 703.10, Pierce County, Washington"
1477,293,1288,282,42,41,32,50,66,91,0,12,26,27,23,27,14,22,9,15,1500000US530530703111,"Block Group 1, Census Tract 703.11, Pierce County, Washington"
1531,372,1438,386,13,22,38,63,15,17,0,12,11,18,16,18,0,12,16,18,1500000US530530703112,"Block Group 2, Census Tract 703.11, Pierce County, Washington"
2094,567,1516,365,58,64,14,23,25,23,0,12,406,513,75,62,23,34,52,52,1500000US530530703113,"Block Group 3, Census Tract 703.11, Pierce County, Washington"
1167,292,1165,292,1,3,1,3,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530703121,"Block Group 1, Census Tract 703.12, Pierce County, Washington"
3028,410,2483,412,65,84,15,24,115,46,0,12,39,44,311,103,17,20,294,103,1500000US530530703122,"Block Group 2, Census Tract 703.12, Pierce County, Washington"
1498,380,1311,323,0,12,0,12,28,48,0,12,0,12,159,162,0,12,159,162,1500000US530530703123,"Block Group 3, Census Tract 703.12, Pierce County, Washington"
1426,248,1302,248,0,12,43,65,0,12,0,12,0,12,81,90,0,12,81,90,1500000US530530703131,"Block Group 1, Census Tract 703.13, Pierce County, Washington"
873,296,669,236,0,12,0,12,0,12,0,12,0,12,204,182,0,12,204,182,1500000US530530703132,"Block Group 2, Census Tract 703.13, Pierce County, Washington"
1529,349,1529,349,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530703133,"Block Group 3, Census Tract 703.13, Pierce County, Washington"
761,296,708,300,0,12,53,59,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530703134,"Block Group 4, Census Tract 703.13, Pierce County, Washington"
1051,269,941,265,0,12,0,12,26,42,0,12,0,12,84,58,0,12,84,58,1500000US530530703135,"Block Group 5, Census Tract 703.13, Pierce County, Washington"
1890,358,1674,362,0,12,0,12,74,96,0,12,0,12,142,158,0,12,142,158,1500000US530530703141,"Block Group 1, Census Tract 703.14, Pierce County, Washington"
1380,311,1301,296,0,12,9,15,10,16,0,12,0,12,60,64,9,15,51,62,1500000US530530703142,"Block Group 2, Census Tract 703.14, Pierce County, Washington"
1615,331,1615,331,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530703151,"Block Group 1, Census Tract 703.15, Pierce County, Washington"
1440,294,1057,255,0,12,0,12,150,135,61,74,0,12,172,107,0,12,172,107,1500000US530530703152,"Block Group 2, Census Tract 703.15, Pierce County, Washington"
1835,313,1237,303,20,24,0,12,493,264,0,12,0,12,85,64,0,12,85,64,1500000US530530703153,"Block Group 3, Census Tract 703.15, Pierce County, Washington"
707,287,583,262,0,12,0,12,0,12,0,12,44,67,80,74,0,12,80,74,1500000US530530703154,"Block Group 4, Census Tract 703.15, Pierce County, Washington"
1661,506,1068,299,89,107,0,12,305,315,0,12,0,12,199,285,0,12,199,285,1500000US530530703161,"Block Group 1, Census Tract 703.16, Pierce County, Washington"
4095,468,2678,423,379,388,21,34,536,257,0,12,0,12,481,319,0,12,481,319,1500000US530530703162,"Block Group 2, Census Tract 703.16, Pierce County, Washington"
1562,202,1351,201,4,6,0,12,0,12,0,12,172,195,35,36,0,12,35,36,1500000US530530704011,"Block Group 1, Census Tract 704.01, Pierce County, Washington"
732,127,655,128,0,12,0,12,56,56,0,12,5,7,16,19,10,12,6,9,1500000US530530704012,"Block Group 2, Census Tract 704.01, Pierce County, Washington"
976,216,964,212,4,10,0,12,0,12,0,12,0,12,8,13,0,12,8,13,1500000US530530704031,"Block Group 1, Census Tract 704.03, Pierce County, Washington"
625,248,608,247,0,12,0,12,0,12,17,26,0,12,0,12,0,12,0,12,1500000US530530704032,"Block Group 2, Census Tract 704.03, Pierce County, Washington"
2201,387,1898,355,0,12,44,55,7,12,74,90,16,24,162,162,8,13,154,162,1500000US530530704033,"Block Group 3, Census Tract 704.03, Pierce County, Washington"
2867,470,2527,511,44,58,39,49,24,30,0,12,0,12,233,189,0,12,233,189,1500000US530530704041,"Block Group 1, Census Tract 704.04, Pierce County, Washington"
2003,392,1834,368,0,12,0,12,89,85,0,12,0,12,80,67,0,12,80,67,1500000US530530704042,"Block Group 2, Census Tract 704.04, Pierce County, Washington"
925,273,817,265,51,62,7,12,34,47,0,12,0,12,16,21,0,12,16,21,1500000US530530707031,"Block Group 1, Census Tract 707.03, Pierce County, Washington"
1500,303,1299,282,103,79,0,12,47,39,0,12,33,56,18,27,0,12,18,27,1500000US530530707032,"Block Group 2, Census Tract 707.03, Pierce County, Washington"
2000,375,1787,367,11,18,65,80,112,167,0,12,0,12,25,37,0,12,25,37,1500000US530530707033,"Block Group 3, Census Tract 707.03, Pierce County, Washington"
831,245,761,246,0,12,0,12,26,38,0,12,0,12,44,55,0,12,44,55,1500000US530530707034,"Block Group 4, Census Tract 707.03, Pierce County, Washington"
942,282,754,260,3,5,3,6,30,37,0,12,0,12,152,120,4,6,148,120,1500000US530530707035,"Block Group 5, Census Tract 707.03, Pierce County, Washington"
1359,318,1063,200,0,12,6,9,218,269,0,12,8,11,64,55,0,12,64,55,1500000US530530711001,"Block Group 1, Census Tract 711, Pierce County, Washington"
969,185,811,177,0,12,19,23,53,57,0,12,7,10,79,68,0,12,79,68,1500000US530530711002,"Block Group 2, Census Tract 711, Pierce County, Washington"
1859,290,1387,234,0,12,76,64,299,130,0,12,0,12,97,77,0,12,97,77,1500000US530530712051,"Block Group 1, Census Tract 712.05, Pierce County, Washington"
3007,316,2587,225,80,69,90,100,41,44,25,37,16,23,168,111,0,12,168,111,1500000US530530712052,"Block Group 2, Census Tract 712.05, Pierce County, Washington"
885,201,834,187,0,12,37,63,14,23,0,12,0,12,0,12,0,12,0,12,1500000US530530712061,"Block Group 1, Census Tract 712.06, Pierce County, Washington"
883,213,805,232,15,23,0,12,0,12,0,12,0,12,63,86,0,12,63,86,1500000US530530712062,"Block Group 2, Census Tract 712.06, Pierce County, Washington"
2120,445,1935,465,45,42,19,32,16,27,0,12,17,27,88,77,0,12,88,77,1500000US530530712063,"Block Group 3, Census Tract 712.06, Pierce County, Washington"
2664,471,2070,427,157,135,62,82,239,185,0,12,19,31,117,99,0,12,117,99,1500000US530530712064,"Block Group 4, Census Tract 712.06, Pierce County, Washington"
1237,366,1095,392,24,36,0,12,48,72,0,12,13,25,57,103,0,12,57,103,1500000US530530712071,"Block Group 1, Census Tract 712.07, Pierce County, Washington"
2808,517,2121,436,15,24,0,12,63,79,0,12,296,422,313,218,20,32,293,217,1500000US530530712072,"Block Group 2, Census Tract 712.07, Pierce County, Washington"
2309,481,1667,398,64,68,19,30,199,142,0,12,42,68,318,224,0,12,318,224,1500000US530530712073,"Block Group 3, Census Tract 712.07, Pierce County, Washington"
1668,385,1532,346,24,37,0,12,9,15,0,12,0,12,103,113,0,12,103,113,1500000US530530712081,"Block Group 1, Census Tract 712.08, Pierce County, Washington"
2295,402,1801,344,133,103,72,124,89,117,0,12,39,61,161,168,0,12,161,168,1500000US530530712082,"Block Group 2, Census Tract 712.08, Pierce County, Washington"
3729,496,2537,421,89,119,0,12,440,270,98,160,111,105,454,320,0,12,454,320,1500000US530530712083,"Block Group 3, Census Tract 712.08, Pierce County, Washington"
2280,258,1957,262,0,12,0,12,98,59,22,23,40,40,163,92,0,12,163,92,1500000US530530712091,"Block Group 1, Census Tract 712.09, Pierce County, Washington"
889,219,773,188,0,12,0,12,50,50,0,12,28,35,38,35,7,11,31,34,1500000US530530712092,"Block Group 2, Census Tract 712.09, Pierce County, Washington"
951,268,784,186,112,152,0,12,36,29,0,12,0,12,19,21,0,12,19,21,1500000US530530712093,"Block Group 3, Census Tract 712.09, Pierce County, Washington"
751,298,638,259,0,12,0,12,0,12,0,12,113,166,0,12,0,12,0,12,1500000US530530712101,"Block Group 1, Census Tract 712.10, Pierce County, Washington"
1120,171,991,175,4,7,6,10,21,20,12,20,35,55,51,55,0,12,51,55,1500000US530530712102,"Block Group 2, Census Tract 712.10, Pierce County, Washington"
2650,303,2277,277,4,11,9,15,275,106,0,12,0,12,85,74,0,12,85,74,1500000US530530712103,"Block Group 3, Census Tract 712.10, Pierce County, Washington"
2104,478,1317,374,88,107,0,12,59,81,25,39,71,77,544,341,40,61,504,350,1500000US530530713041,"Block Group 1, Census Tract 713.04, Pierce County, Washington"
3238,663,2484,593,97,115,0,12,421,313,0,12,93,113,143,159,55,91,88,132,1500000US530530713042,"Block Group 2, Census Tract 713.04, Pierce County, Washington"
956,323,550,149,326,317,0,12,44,72,0,12,0,12,36,50,24,37,12,33,1500000US530530713043,"Block Group 3, Census Tract 713.04, Pierce County, Washington"
2013,312,1544,331,38,37,8,12,121,77,77,97,120,190,105,83,0,12,105,83,1500000US530530713051,"Block Group 1, Census Tract 713.05, Pierce County, Washington"
1716,352,1509,330,14,16,0,12,67,52,0,12,0,12,126,86,0,12,126,86,1500000US530530713052,"Block Group 2, Census Tract 713.05, Pierce County, Washington"
1207,445,1052,447,0,12,0,12,0,12,0,12,0,12,155,118,0,12,155,118,1500000US530530713061,"Block Group 1, Census Tract 713.06, Pierce County, Washington"
1741,484,1258,414,178,151,0,12,229,256,0,12,0,12,76,95,0,12,76,95,1500000US530530713062,"Block Group 2, Census Tract 713.06, Pierce County, Washington"
2419,620,1667,569,161,167,63,66,307,244,0,12,0,12,221,182,0,12,221,182,1500000US530530713063,"Block Group 3, Census Tract 713.06, Pierce County, Washington"
1013,347,693,265,48,58,0,12,63,105,0,12,0,12,209,223,0,12,209,223,1500000US530530713064,"Block Group 4, Census Tract 713.06, Pierce County, Washington"
1462,268,1324,250,32,48,15,24,0,12,8,16,0,12,83,82,0,12,83,82,1500000US530530713071,"Block Group 1, Census Tract 713.07, Pierce County, Washington"
996,247,764,195,14,20,108,166,29,46,0,12,14,22,67,80,59,79,8,13,1500000US530530713072,"Block Group 2, Census Tract 713.07, Pierce County, Washington"
2251,285,1723,292,287,180,0,12,62,53,49,36,7,10,123,81,18,30,105,78,1500000US530530713073,"Block Group 3, Census Tract 713.07, Pierce County, Washington"
1579,335,981,325,146,189,0,12,11,17,140,134,13,21,288,167,42,64,246,152,1500000US530530713091,"Block Group 1, Census Tract 713.09, Pierce County, Washington"
1534,381,1138,309,17,26,8,14,48,61,0,12,0,12,323,239,7,11,316,238,1500000US530530713092,"Block Group 2, Census Tract 713.09, Pierce County, Washington"
1362,471,796,305,94,91,10,15,31,35,24,31,22,41,385,248,0,12,385,248,1500000US530530713093,"Block Group 3, Census Tract 713.09, Pierce County, Washington"
1835,375,1578,319,66,55,0,12,46,38,0,12,0,12,145,110,0,12,145,110,1500000US530530713101,"Block Group 1, Census Tract 713.10, Pierce County, Washington"
3105,336,2337,298,134,112,0,12,219,168,0,12,118,156,297,161,25,33,272,155,1500000US530530713102,"Block Group 2, Census Tract 713.10, Pierce County, Washington"
1713,280,1243,220,266,140,2,6,101,76,8,13,0,12,93,57,7,14,86,55,1500000US530530714031,"Block Group 1, Census Tract 714.03, Pierce County, Washington"
723,221,607,216,22,20,0,12,26,21,0,12,6,11,62,81,0,12,62,81,1500000US530530714032,"Block Group 2, Census Tract 714.03, Pierce County, Washington"
1660,376,1193,285,32,38,51,49,44,36,106,87,1,8,233,137,0,12,233,137,1500000US530530714033,"Block Group 3, Census Tract 714.03, Pierce County, Washington"
3299,557,1633,436,606,256,4,10,210,184,294,333,149,163,403,265,0,12,403,265,1500000US530530714061,"Block Group 1, Census Tract 714.06, Pierce County, Washington"
1233,450,992,404,1,2,119,189,95,100,0,12,0,12,26,33,0,12,26,33,1500000US530530714062,"Block Group 2, Census Tract 714.06, Pierce County, Washington"
547,244,345,164,52,89,0,12,103,139,0,12,0,12,47,57,0,12,47,57,1500000US530530714063,"Block Group 3, Census Tract 714.06, Pierce County, Washington"
1913,440,1631,456,0,12,82,125,120,120,0,12,0,12,80,98,22,36,58,94,1500000US530530714064,"Block Group 4, Census Tract 714.06, Pierce County, Washington"
1403,414,1388,413,0,12,0,12,0,12,0,12,15,22,0,12,0,12,0,12,1500000US530530714071,"Block Group 1, Census Tract 714.07, Pierce County, Washington"
1834,485,1291,365,469,435,0,12,43,51,0,12,0,12,31,35,0,12,31,35,1500000US530530714072,"Block Group 2, Census Tract 714.07, Pierce County, Washington"
1857,642,1537,647,93,142,0,12,31,38,120,173,11,17,65,72,0,12,65,72,1500000US530530714073,"Block Group 3, Census Tract 714.07, Pierce County, Washington"
1917,647,1268,449,329,366,0,12,21,44,58,100,69,120,172,153,0,12,172,153,1500000US530530714074,"Block Group 4, Census Tract 714.07, Pierce County, Washington"
1828,422,1170,337,258,191,0,12,53,42,181,251,0,12,166,180,0,12,166,180,1500000US530530714081,"Block Group 1, Census Tract 714.08, Pierce County, Washington"
1265,407,709,290,44,46,0,12,10,16,251,253,0,12,251,199,0,12,251,199,1500000US530530714082,"Block Group 2, Census Tract 714.08, Pierce County, Washington"
817,232,433,147,100,130,0,12,43,67,45,80,56,100,140,140,0,12,140,140,1500000US530530714083,"Block Group 3, Census Tract 714.08, Pierce County, Washington"
1282,397,733,285,102,109,16,25,63,60,154,186,0,12,214,165,0,12,214,165,1500000US530530714091,"Block Group 1, Census Tract 714.09, Pierce County, Washington"
1024,386,641,271,7,11,0,12,27,39,331,325,0,12,18,27,0,12,18,27,1500000US530530714092,"Block Group 2, Census Tract 714.09, Pierce County, Washington"
1312,328,823,314,186,130,5,8,137,131,16,25,13,20,132,84,12,19,120,81,1500000US530530714093,"Block Group 3, Census Tract 714.09, Pierce County, Washington"
842,199,643,201,24,27,99,138,29,16,0,12,11,18,36,36,0,12,36,36,1500000US530530714094,"Block Group 4, Census Tract 714.09, Pierce County, Washington"
1487,712,1226,637,121,169,0,12,112,102,0,12,0,12,28,47,0,12,28,47,1500000US530530714101,"Block Group 1, Census Tract 714.10, Pierce County, Washington"
1578,567,1435,579,0,12,103,195,12,21,0,12,0,12,28,44,0,12,28,44,1500000US530530714102,"Block Group 2, Census Tract 714.10, Pierce County, Washington"
2388,669,1503,442,463,273,0,12,405,380,0,12,0,12,17,27,0,12,17,27,1500000US530530714103,"Block Group 3, Census Tract 714.10, Pierce County, Washington"
1648,369,1280,353,272,187,24,29,62,76,0,12,10,17,0,12,0,12,0,12,1500000US530530714104,"Block Group 4, Census Tract 714.10, Pierce County, Washington"
2344,530,1182,354,522,244,8,14,100,76,115,147,152,204,265,146,22,27,243,136,1500000US530530714111,"Block Group 1, Census Tract 714.11, Pierce County, Washington"
1190,421,1089,396,0,12,11,17,0,12,39,61,0,12,51,56,0,12,51,56,1500000US530530714112,"Block Group 2, Census Tract 714.11, Pierce County, Washington"
1735,370,1345,272,142,107,0,12,23,22,0,12,20,22,205,151,38,35,167,143,1500000US530530714113,"Block Group 3, Census Tract 714.11, Pierce County, Washington"
1282,259,848,227,143,120,61,60,45,54,0,12,0,12,185,135,8,16,177,136,1500000US530530715031,"Block Group 1, Census Tract 715.03, Pierce County, Washington"
1963,632,1322,588,146,137,90,105,23,38,85,93,55,47,242,223,0,12,242,223,1500000US530530715032,"Block Group 2, Census Tract 715.03, Pierce County, Washington"
600,239,424,223,113,98,0,12,41,48,0,12,0,12,22,26,0,12,22,26,1500000US530530715033,"Block Group 3, Census Tract 715.03, Pierce County, Washington"
1426,408,1093,374,90,105,0,12,87,72,0,12,24,46,132,107,43,56,89,98,1500000US530530715034,"Block Group 4, Census Tract 715.03, Pierce County, Washington"
1647,396,1207,445,224,197,0,12,29,31,49,81,47,189,91,61,0,12,91,61,1500000US530530715041,"Block Group 1, Census Tract 715.04, Pierce County, Washington"
2129,347,1701,343,126,132,0,12,123,69,17,23,3,6,159,54,5,10,154,54,1500000US530530715042,"Block Group 2, Census Tract 715.04, Pierce County, Washington"
907,263,554,204,73,98,0,12,80,70,0,12,0,12,200,164,10,17,190,158,1500000US530530715043,"Block Group 3, Census Tract 715.04, Pierce County, Washington"
1155,339,550,179,212,234,5,12,252,274,51,79,9,14,76,72,0,12,76,72,1500000US530530715044,"Block Group 4, Census Tract 715.04, Pierce County, Washington"
1630,308,914,228,222,154,0,12,146,94,209,157,9,15,130,126,0,12,130,126,1500000US530530715051,"Block Group 1, Census Tract 715.05, Pierce County, Washington"
1012,300,863,280,53,59,0,12,20,26,0,12,0,12,76,63,0,12,76,63,1500000US530530715052,"Block Group 2, Census Tract 715.05, Pierce County, Washington"
992,276,733,228,134,112,0,12,67,60,0,12,0,12,58,92,58,92,0,12,1500000US530530715053,"Block Group 3, Census Tract 715.05, Pierce County, Washington"
1426,324,1014,322,118,135,0,12,22,28,96,119,22,29,154,123,21,37,133,114,1500000US530530715054,"Block Group 4, Census Tract 715.05, Pierce County, Washington"
1025,240,779,177,130,120,1,2,12,19,14,22,12,19,77,78,0,12,77,78,1500000US530530715061,"Block Group 1, Census Tract 715.06, Pierce County, Washington"
2076,375,1304,216,127,66,16,23,73,38,218,222,116,165,222,160,8,12,214,160,1500000US530530715062,"Block Group 2, Census Tract 715.06, Pierce County, Washington"
1993,309,1176,337,279,248,30,47,260,236,193,239,9,16,46,52,0,12,46,52,1500000US530530715063,"Block Group 3, Census Tract 715.06, Pierce County, Washington"
3557,458,1400,273,581,167,110,125,301,192,0,12,991,333,174,123,101,114,73,58,1500000US530530716011,"Block Group 1, Census Tract 716.01, Pierce County, Washington"
1295,247,849,152,45,36,12,19,309,179,3,9,2,4,75,54,0,12,75,54,1500000US530530716012,"Block Group 2, Census Tract 716.01, Pierce County, Washington"
2150,458,1189,350,153,98,0,12,320,280,177,189,51,49,260,168,0,12,260,168,1500000US530530716021,"Block Group 1, Census Tract 716.02, Pierce County, Washington"
1326,372,814,247,184,168,0,12,169,200,0,12,97,142,62,78,17,28,45,72,1500000US530530716022,"Block Group 2, Census Tract 716.02, Pierce County, Washington"
2001,477,993,296,289,202,0,12,389,282,54,89,0,12,276,193,0,12,276,193,1500000US530530716023,"Block Group 3, Census Tract 716.02, Pierce County, Washington"
1173,390,691,261,308,296,31,49,95,147,0,12,0,12,48,58,0,12,48,58,1500000US530530716024,"Block Group 4, Census Tract 716.02, Pierce County, Washington"
2226,311,1077,260,464,166,25,40,213,164,20,32,354,276,73,54,0,12,73,54,1500000US530530717031,"Block Group 1, Census Tract 717.03, Pierce County, Washington"
1277,362,740,281,169,99,0,12,293,214,0,12,20,26,55,46,0,12,55,46,1500000US530530717032,"Block Group 2, Census Tract 717.03, Pierce County, Washington"
2663,552,1301,507,223,126,82,126,169,120,174,176,557,351,157,128,0,12,157,128,1500000US530530717041,"Block Group 1, Census Tract 717.04, Pierce County, Washington"
1412,286,797,224,202,87,0,12,14,15,0,12,94,144,305,200,23,38,282,192,1500000US530530717042,"Block Group 2, Census Tract 717.04, Pierce County, Washington"
898,258,317,119,178,116,97,149,32,32,0,12,102,114,172,120,0,12,172,120,1500000US530530717043,"Block Group 3, Census Tract 717.04, Pierce County, Washington"
1372,246,888,223,13,15,0,12,155,119,50,64,194,184,72,69,0,12,72,69,1500000US530530717051,"Block Group 1, Census Tract 717.05, Pierce County, Washington"
1381,341,897,255,130,79,92,134,76,50,113,150,40,55,33,31,0,12,33,31,1500000US530530717052,"Block Group 2, Census Tract 717.05, Pierce County, Washington"
1068,304,619,218,34,76,58,95,108,78,98,88,6,35,145,119,0,12,145,119,1500000US530530717053,"Block Group 3, Census Tract 717.05, Pierce County, Washington"
1872,208,1078,195,318,129,3,8,77,63,232,131,26,22,138,100,0,12,138,100,1500000US530530717061,"Block Group 1, Census Tract 717.06, Pierce County, Washington"
921,223,698,170,148,159,0,12,53,56,8,17,0,12,14,22,0,12,14,22,1500000US530530717071,"Block Group 1, Census Tract 717.07, Pierce County, Washington"
696,207,550,201,44,44,22,36,39,31,0,12,0,12,41,43,0,12,41,43,1500000US530530717072,"Block Group 2, Census Tract 717.07, Pierce County, Washington"
1235,277,930,301,109,137,0,12,143,118,5,7,4,7,44,36,0,12,44,36,1500000US530530717073,"Block Group 3, Census Tract 717.07, Pierce County, Washington"
1728,470,921,267,330,220,28,45,189,173,0,12,53,64,207,196,0,12,207,196,1500000US530530718031,"Block Group 1, Census Tract 718.03, Pierce County, Washington"
2219,421,1500,424,394,204,0,12,197,113,0,12,30,43,98,120,0,12,98,120,1500000US530530718032,"Block Group 2, Census Tract 718.03, Pierce County, Washington"
783,309,452,269,224,164,0,12,11,19,13,22,67,101,16,26,0,12,16,26,1500000US530530718033,"Block Group 3, Census Tract 718.03, Pierce County, Washington"
792,405,730,394,14,23,0,12,48,55,0,12,0,12,0,12,0,12,0,12,1500000US530530718034,"Block Group 4, Census Tract 718.03, Pierce County, Washington"
862,339,279,105,61,53,0,12,231,150,0,12,277,308,14,18,0,12,14,18,1500000US530530718051,"Block Group 1, Census Tract 718.05, Pierce County, Washington"
1706,361,624,256,103,74,0,12,443,149,86,138,143,200,307,274,0,12,307,274,1500000US530530718052,"Block Group 2, Census Tract 718.05, Pierce County, Washington"
1866,415,461,170,282,253,155,156,173,96,393,328,196,235,206,168,0,12,206,168,1500000US530530718053,"Block Group 3, Census Tract 718.05, Pierce County, Washington"
2741,405,980,253,342,144,141,168,14,16,327,222,581,325,356,228,0,12,356,228,1500000US530530718061,"Block Group 1, Census Tract 718.06, Pierce County, Washington"
1434,276,796,224,403,152,7,11,72,87,0,12,84,88,72,57,0,12,72,57,1500000US530530718062,"Block Group 2, Census Tract 718.06, Pierce County, Washington"
1839,348,867,238,378,185,60,69,245,122,23,40,7,11,259,161,16,17,243,165,1500000US530530718071,"Block Group 1, Census Tract 718.07, Pierce County, Washington"
1729,295,949,206,163,92,0,12,184,95,94,95,158,147,181,101,12,20,169,98,1500000US530530718072,"Block Group 2, Census Tract 718.07, Pierce County, Washington"
1736,444,1077,416,156,118,17,27,0,12,16,27,374,242,96,63,0,12,96,63,1500000US530530718081,"Block Group 1, Census Tract 718.08, Pierce County, Washington"
1820,297,1158,305,200,112,27,46,308,181,26,42,58,58,43,35,0,12,43,35,1500000US530530718082,"Block Group 2, Census Tract 718.08, Pierce County, Washington"
632,327,234,99,44,38,0,12,20,22,0,12,165,259,169,216,0,12,169,216,1500000US530530718083,"Block Group 3, Census Tract 718.08, Pierce County, Washington"
1810,423,1123,440,193,130,75,77,151,152,0,12,177,174,91,133,0,12,91,133,1500000US530530719011,"Block Group 1, Census Tract 719.01, Pierce County, Washington"
684,237,394,164,27,31,0,12,76,56,19,35,23,36,145,143,0,12,145,143,1500000US530530719012,"Block Group 2, Census Tract 719.01, Pierce County, Washington"
856,210,554,156,0,12,0,12,184,120,105,162,13,22,0,12,0,12,0,12,1500000US530530719013,"Block Group 3, Census Tract 719.01, Pierce County, Washington"
1574,343,1062,313,282,151,73,119,67,55,0,12,0,12,90,58,0,12,90,58,1500000US530530719014,"Block Group 4, Census Tract 719.01, Pierce County, Washington"
1598,446,977,347,88,111,13,23,180,177,0,12,53,83,287,329,77,113,210,222,1500000US530530719021,"Block Group 1, Census Tract 719.02, Pierce County, Washington"
825,323,804,324,21,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530719022,"Block Group 2, Census Tract 719.02, Pierce County, Washington"
1166,345,1034,338,94,119,23,36,0,12,0,12,0,12,15,36,15,36,0,12,1500000US530530719023,"Block Group 3, Census Tract 719.02, Pierce County, Washington"
550,252,525,253,0,12,0,12,25,38,0,12,0,12,0,12,0,12,0,12,1500000US530530719024,"Block Group 4, Census Tract 719.02, Pierce County, Washington"
