OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
1,28,Community Center,Special Use,9112 Lakewood Dr SW,Tacoma,98499,Pierce County,Pierce County Parks and Recreation Services,See website,3.63,0,https://www.co.pierce.wa.us/1305/Lakewood-Community-Center,1,Lakewood Community Center,3.63169297,Lakewood Community Center, ,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,3.71,"The Lakewood Community Center is a multipurpose center, that includes a college-sized gymnasium, meeting rooms, and the Lakewood Senior Activity Center.",Yes, ,1770.82690152149,158203.239595066
2,43,Rec Center,Regional,14824 S C ST,Tacoma,98444,Pierce County,Pierce County Parks and Recreation Services,See website,45,0,https://www.co.pierce.wa.us/1310/Sprinker-Recreation-Center,1,Sprinker Recreation Center,45.24461158,Sprinker Recreation Center, ,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,43.76,"Sprinker Recreation Center is part of Spanaway Regional Park, and includes many indoor and outdoor recreation facilities, including ice rink, raquet-sports and basketball courts, ballfields, and skatepark with many community activities.",Yes, ,5552.38947981996,1970848.68761006
3,55,Park,Local,10506 Russell Rd SW,Lakewood,98499,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",2,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Active Park,2.35243351,Active Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1371.92145719958,102512.846187975
4,56,Park,Resource Conservancy,2917 Morrison Ave W,University Place,98466,City of University Place,City of University Place,Tuesday - Saturday 10 AM - 2:30 PM,0,2,http://www.tahomaaudubon.org/Default.aspx?pageId=30304,1,Adriana Hess Wetland Park,3.31693522,Adriana Hess Wetland Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1904.90193618059,144485.111215774
5,57,Park,Regional,50324 School Rd,Eatonville,98328,City of Tacoma,Tacoma Power,Dawn to Dusk,161,537,http://www.mytpu.org/tacomapower/parks-rec/alder-lake-park/Default.htm,1,Alder Lake Park,771.42612432,Alder Lake Park, ,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,0,"Tacoma Power's Alder Lake Park offers expansive campgrounds and access to Alder Lake (formed by Alder Dam) in Pierce County, Washington.",no,Yes,41986.423279471,33603206.7716725
6,58,Park,Local,208 Browns Point Blvd,Tacoma,98422,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,7,0,http://www.metroparkstacoma.org/alderwood-park,1,Alderwood Park,6.58836554,Alderwood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2988.80992766811,286995.165519976
7,59,Park,Local,Regents Boulevard and Electron Way,Fircrest,98466,City of Fircrest,City of Fircrest,Dawn to Dusk,0.21,0, ,1,Alice Peers Park,0.12303662,Alice Peers Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,432.966779518493,5359.45591151857
8,60,Park,Local,1134 S 60th St,Tacoma,98408,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,5,0,http://www.metroparkstacoma.org/alling-park,1,Alling Park,5.63042369,Alling Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2060.27753113904,245260.27936505
9,61,Park,Local,9222 Veterans Dr SW,Lakewood,98498,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",5,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,American Lake North Park,5.18756516,American Lake North Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1948.28206281528,225969.370178688
11,63,Playfield,Special Use,13005 Camus RD AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,0,40,http://www.andersonislandparks.org/Jane_Cammon_Park.html,1,Jane Cammon Park,40.63779604,Jane Cammon Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6596.58439710252,1770175.24426073
12,64,Park,Local,"4716 N Baltimore, N 47th St at N Baltimore St",Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2,0,http://www.metroparkstacoma.org/baltimore-park,1,Baltimore Park,2.67861655,Baltimore Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1467.13885060818,116680.075470569
13,65,Park,Local,"7402 East D ST, E 72th Street at East D Street",Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0,51.31,http://www.metroparkstacoma.org/charlottes-blueberry-park,1,Charlotte's Blueberry Park,51.21469555,Charlotte's Blueberry Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6645.21165409064,2230903.26819687
14,67,Park,Resource Conservancy,18200 74th St E,Bonney Lake,98391,City of Bonney Lake,City of Bonney Lake,Dawn to Dusk,0,2,http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml#kensimmons,1,Ken Simmons Park,1.52345119,Ken Simmons Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1167.81652491759,66372.2710222223
16,69,Park,Local,7203 West Tapps Hwy E,Bonney Lake,98391,City of Bonney Lake,City of Bonney Lake,Dawn to Dusk,22,0,http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml#maps,1,Allan Yorke Park,21.5796705,Allan Yorke Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5373.20889712434,940052.962831858
17,70,Park,Local,531 31st Avenue SE,Puyallup,98374,City of Puyallup,City of Puyallup,8 am to Dusk,59,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/bradley-lake-park/,1,Bradley Lake Park,57.75888202,Bradley Lake Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,7768.81368015914,2515909.21557748
18,71,Park,Undeveloped Sites,6518 Valley Ave E,Fife,98424,City of Fife,City of Fife,"Not yet accessible to the public; Tentatively Opening 2014",0,17, ,1,Brookville Gardens Park,16.17052587,Brookville Gardens Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5266.33629580376,704358.074726609
19,72,Park,Resource Conservancy,1111 19th Ave SW,Puyallup,98371,City of Puyallup,City of Puyallup, ,0,17,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/community-garden-plots/,1,Community Garden Plots,15.00383064,Community Garden Plots, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3906.9515663208,653564.263158893
21,74,Park,Local,201 Tulalip Street NE,Tacoma,98422,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,5,0,http://www.metroparkstacoma.org/browns-point-lighthouse-park,1,Browns Point Lighthouse Park,4.35627292,Browns Point Lighthouse Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1747.22842127509,189758.496534372
22,75,Playfield,Local,4901 La-Ha-Da NE,Tacoma,98422,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,4,0,http://www.metroparkstacoma.org/browns-point-playfield,1,Browns Point Playfield,3.56789155,Browns Point Playfield, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2564.60387552897,155416.73103391
24,77,Park,Local,429 South 80TH ST,Tacoma,98408,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,5,0,http://www.metroparkstacoma.org/ryans-park-formerly-celebration-park,1,Ryan's Park,4.34052551,Ryan's Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1900.97759287043,189072.550041712
25,78,Park,Local,5411 23rd Street E,Fife,98424,City of Fife,City of Fife,Dawn to Dusk,0.36,0,http://cityoffife.org/?p=city_departments&a=parks_and_recreation&b=city_parks&c=centennial_park,1,Centennial Park,3.75542634,Centennial Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1651.03213939998,163585.709318546
26,79,Park,TBD,14404 Talmo Dr NW,Gig Harbor,98332,Pierce County,Pierce County Public Works Surface Water Management,Dawn to Dusk,0,0.9,http://www.co.pierce.wa.us/pc/services/recreate/fac-list.htm#C,1,Crescent Lake Park,0.86035194,Crescent Lake Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1526.23526427302,37484.0426122692
27,80,Park,County,21800 Meridian Ave E,Graham,98338,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk / During special events and the Pierce County Fair new times for gate closures at Frontier Park go into effect.,54.35,10,https://www.co.pierce.wa.us/1321/Frontier-Park,1,Frontier Park,68.27458911,Frontier Park, ,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,71.4,"Frontier Park is a 71 acre complex on Meridian between Puyallup and Graham. The park is home to many uses, including the Pierce County Fair, Highland Games, equestrian shows, scouting events, car shows, quarter midget track racing, and other community events. ",Yes, ,9678.23877726741,2974029.17713074
28,82,Park,Regional,14905 Bresemann Blvd S (and Military Road S),Spanaway,98387,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk (unless otherwise posted),68.13,0,https://www.co.pierce.wa.us/1336/Spanaway-Park,1,Spanaway Park,73.77275454,Spanaway Park, ,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,88.87,"This 89-acre park is part of Spanaway Regional Park. The Park follows the east shoreline of Spanaway Lake and includes swimming beaches, boat launch, picnic shelters, playground, walking paths, and year-round activities.",Yes, ,10799.5469848698,3213548.06415919
29,83,Park,Local,1605 90th St E,Tacoma,98445,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,5,0,https://www.co.pierce.wa.us/1319/Dawson-Playfield,1,Dawson Playfield,4.7773993,Dawson Playfield, ,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,5.05,"Dawson Playfield is a neighborhood park in the Midland community that includes a picnic shelter, playground, basketball and tennis courts, playfield, and walking path. ",Yes, ,2216.6273352255,208102.677474773
30,84,Rec Center,Local,4818 Nassau Ave NE,Tacoma,98422,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,18.72,0,http://www.metroparkstacoma.org/norpoint-park,1,Norpoint Park,17.50577324,Norpoint Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5091.24420172994,762529.114381582
31,85,Golf,Regional,6320 Grandview Drive West,University Place,98467,Pierce County,Kemper Sports,Check website for tee times,340.45,0,https://www.chambersbaygolf.com/,1,Chambers Bay Golf Course,349.36131292,Chambers Bay Golf Course, ,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,370.45,"Located near Tacoma in Pierce County, Washington, Chambers Bay is one of the top public courses in the nation and the first course in the Northwest to welcome the U.S. Open Championship.",Yes, ,19116.4766645451,15304719.8950257
32,86,Stadium,Special Use,2502 S Tyler St,Tacoma,98405,City of Tacoma,City of Tacoma, ,25.6,0,http://www.cityoftacoma.org/Page.aspx?hid=3052,1,Cheney Stadium,20.42330651,Cheney Stadium, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4077.80570823846,889592.480719893
33,87,Park,Resource Conservancy,1701 S Bennett,Tacoma,98465,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,27.23,0,http://www.metroparkstacoma.org/china-lake-park,1,China Lake,28.29368257,China Lake, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6575.33121085018,1232467.87739623
35,92,Park,Other,8714 Elwood Dr SW,Lakewood,98498,State of Washington,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",261.27,274.73,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Fort Steilacoom Park,600.39167994,Fort Steilacoom Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,34236.4663204441,26152773.3898609
36,93,Park,Local,7250 Cirque Dr W,University Place,98467,City of University Place,City of University Place,Dawn to Dusk (unless otherwise posted),26.87,0,http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf,1,Cirque/ Bridgeport Park,26.8768516,Cirque/ Bridgeport Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4851.16124203307,1170649.7666419
37,94,Golf,Regional,15602 Pacific Avenue South,Tacoma,98444,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk (unless otherwise posted),145.29,0,http://www.lakespanawaygc.com/,1,Lake Spanaway Golf Course,145.29274222,Lake Spanaway Golf Course, ,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,128.8,"Lake Spanaway Golf Course is part of the Spanaway Regional Recreational Complex that also contains Bresemann Forest, Sprinkler Recreation Center and Spanaway Park. The course includes 18 holes, a clubhouse, and driving range.",Yes, ,11045.2099735391,6328906.73174672
38,95,Park,Local,13422 10th Ave S,Tacoma,98444,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,12.45,0,https://www.co.pierce.wa.us/1323/Gonyea-Play-Field,1,Gonyea Playfield,12.45160987,Gonyea Playfield, ,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,12.42,"This neighborhood playfield serves the Parkland community and includes multi-purpose baseball, softball and soccer fields with a playground, basketball courts, and restrooms.",Yes, ,3515.31860968813,542389.894069331
39,96,Park,County,29801 SR706,Ashford,98304,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,53,31,https://www.co.pierce.wa.us/1313/Ashford-County-Park,1,Ashford County Park,85.29522402,Ashford County Park,http://www.co.pierce.wa.us/xml/abtus/ourorg/parks/ashford/Ashford_Conceptual17-mod_1-2w.pdf,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,83.98,"This 80-acre park in along SR-706 in the community of Ashford includes trails, playground, great lawn, restrooms, and an outdoor amphitheater. ",Yes, ,8462.88424239651,3715445.11355066
40,98,Wildlife Habitat,Resource Conservancy,Tule Lake Rd S At Yakima Ave S,Tacoma,98444,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,5,3,https://www.co.pierce.wa.us/4759/Parkland-Prairie,1,Parkland Prairie Nature Preserve,7.96,Parkland Prairie Nature Preserve, ,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7.96,This 4.5 acre preserve of Garry Oak open space property is located in the Parkland area. This property includes a nature trail and educational kiosk.,Yes, ,3526.36493361276,358364.054142626
42,100,Wildlife Habitat,Resource Conservancy,9112 Lakewood Drive SW,Lakewood,98499,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,0,46,http://www.co.pierce.wa.us/index.aspx?NID=1333,1,Seeley Lake Park,46.39982109,Seeley Lake Park, ,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45.98,"Seeley Lake Park is a small park nestled between a busy street, retail stores, and an apartment complex. This 48-acre park includes a 1-mile soft-surface walking trail surrounding wetlands.",Yes, ,7791.5937290094,2021014.7466386
45,104,Park,Local,1502 Lucille Parkway NW,Gig Harbor,98335,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,7 am to dusk,35,,https://penmetparks.org/parks/narrows-park/,1,Narrows Park,36.10843748,Narrows Park, ,yes, ,yes,yes,, , ,yes, , , , , , ,yes,yes,yes, , , , , , , , ,35, ,No, ,7527.89794116534,1572949.09728911
46,105,Park,Unclassified,7800 Riverside Drive E,Sumner,98390,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,0,35,https://www.co.pierce.wa.us/1331/Riverside-Park-BMX,1,Riverside Park,36.67326994,Riverside Park,http://www.rivervalleybmxracing.com/,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,36.11,"Located at Riverside Road and 78th Street Court in Sumner, Riverside Park is an undeveloped 36-acre park along the Puyallup River with four disc golf courses, seasonal BMX concession, and a permit-use only boat slide.",Yes, ,6267.91503016369,1597464.00781431
47,106,Park,Local,58th St & 44th Ave E,Tacoma,98443,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,10,0,http://www.co.pierce.wa.us/5745/Lidford-Playfield,1,Lidford Playfield,9.73859521,Lidford Playfield, ,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9.78,This neighbhorhood playfield serves the Summit-Waller community and includes a walking path and open lawn.,Yes, ,2605.50188981768,424211.529054247
49,108,Pier,Special Use,1453 Ozette Drive,Fox Island,98333,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,7 am to dusk,5.5,0,https://penmetparks.org/parks/fox-island-fishing-pier/,1,Fox Island Fishing Pier,9.67584825,Fox Island Fishing Pier, ,yes, ,yes,yes, , , ,yes, , , , , , ,yes,yes, , , , , , , , , ,5.5, ,No, ,4865.17426590087,421484.569302825
52,111,Wildlife Habitat,Regional,801 Military Road,Spanaway,98387,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,65,0,https://www.co.pierce.wa.us/1315/Bresemann-Forest,1,Bresemann Forest,61.69286512,Bresemann Forest, ,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,65.85,Bresemann Forest is part of Spanaway Regional Park and located adjacent to Sprinker Recreation Center. This urban forest includes nature trails. ,Yes, ,8483.05807238639,2687330.38646851
53,112,Park,Local,3507 Ray Nash Dr NW,Gig Harbor,98335,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,7 am to dusk,3.67,0,https://penmetparks.org/parks/hales-pass-park/,1,Hales Pass Park,4.0226101,Hales Pass Park, ,yes, ,, , , ,yes,yes, , ,yes, , , , , , , ,yes, , , , , , ,4, ,No, ,1948.11283619153,175224.209433311
54,113,Park,Local,Brierhill Blvd & Roosevelt Rd,Wilkeson,98396,Town of Wilkeson,Town of Wilkeson,Dawn to Dusk,1.81,0, ,1,City Park - Wilkeson,1.8216738,City Park - Wilkeson, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1450.07727144163,79351.8213857045
55,114,Park,Local,205 Barksdale Ave,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.338,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Robinson Park,0.33816288,Robinson Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,595.640500018764,14730.3109197126
56,115,Park,Local,1700 12th Ave Sw,Puyallup,98371,City of Puyallup,City of Puyallup,8 am to Dusk,16.82,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/clarks-creek-park/,1,Clarks Creek Park North,16.81902615,Clarks Creek Park North, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4231.94360399419,732633.819561393
59,118,Park,Local,1635 E 59TH ST,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2.21,0,http://www.metroparkstacoma.org/cloverdale-park,1,Cloverdale Park,2.21323528,Cloverdale Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1590.35081625505,96408.1217060666
60,119,Park,Undeveloped Sites,35th St W & Crestview Drive West,University Place,98466,City of University Place,City of University Place,Dawn to Dusk,0,12,http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf,1,Colegate Park,11.84409573,Colegate Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4617.36967406908,515926.763939471
61,120,Park,Local,Bridgeport Way W and Chambers Lane West,University Place,98467,City of University Place,City of University Place,"7 Days a week, daylight hours",0.56,0,http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf,1,Conservation Park,0.51884982,Conservation Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,955.085445219065,22641.255004004
62,122,Park,Local,3939 Ruston Way,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,3.8424,0,http://www.metroparkstacoma.org/cummings-park,1,Cummings Park,3.84072402,Cummings Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1971.57077119919,167301.265699135
63,123,Park,Local,4009 Curran Lane West,University Place,98466,City of University Place,City of University Place,Dawn to Dusk (unless otherwise posted),7.33,0,http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf,1,Curran Apple Orchard,7.02080221,Curran Apple Orchard, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2428.01911558794,305841.023056862
64,124,Park,TBD,10015 Sunrise Beach Drive NW,Gig Harbor,98332,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,Dawn to Dusk,89,80,http://www.co.pierce.wa.us/pc/abtus/ourorg/parks/Sunrise.htm,1,Sunrise Beach / Doc Weathers Park,88.72396672,Sunrise Beach / Doc Weathers Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,20599.3215144663,3864888.90979138
65,125,Park,Local,13510 13th AVCT E,Parkland,98445,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,4.87,4,https://www.co.pierce.wa.us/4889/Mayfair-Playfield,1,Mayfair Playfield,4.90172981,Mayfair Playfield, ,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4.58,This neighborhood playfield serves the Parkland community and is located along Clover Creek. The park includes a playground and open lawn.,Yes, ,2258.71189401073,213518.475048974
67,131,Trail,Linear Park,"Kimball Dr At Hunt St, Reed Rd & 28th St",Gig Harbor,98335,Tacoma Public Utilities,Peninsula Metropolitan Park District,Dawn to Dusk,31.91,0,https://penmetparks.org/parks/cushman-powerline-trail/,1,Cushman Powerline Trail,52.81122182,Cushman Powerline Trail, ,yes, ,yes,yes, , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,46751.5501683462,2300450.08490637
68,132,Park,Resource Conservancy,N/A,Gig Harbor,98335,State of Washington,Washington State Parks,8 am to Dusk,0,5.5,http://www.parks.wa.gov/parks/?selectedpark=Cutts%20Island&subject=all,1,Cutts Island State Park,5.29886629,Cutts Island State Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2312.89692594009,230817.693861422
69,135,Park,Local,5604 Graham Street,Sumner,98390,City of Sumner,City of Sumner,8 am to 10 pm,6.96,0,http://www.ci.sumner.wa.us/Living/Daffodil_Valley.htm,1,Daffodil Valley Sports Complex,6.69923382,Daffodil Valley Sports Complex, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2250.15962545497,291803.722806891
70,136,Park,Local,1425 Beach Drive NE,Tacoma,98422,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2.9234,0,http://www.metroparkstacoma.org/dash-point-park,1,Dash Point Park,2.89460295,Dash Point Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2444.83841280557,126088.421148963
71,137,Park,Regional,5700 SW Dash Point Road,Federal Way,98023,State of Washington,Washington State Parks,8 am to Dusk,398,168.16,http://www.parks.wa.gov/parks/?selectedpark=Dash%20Point&subject=all,1,Dash Point State Park,169.10322641,Dash Point State Park,http://www.parks.wa.gov/plans/dash-saltwater/, , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,17736.1511546494,7366122.20808878
72,140,Park,Local,1800 7th Ave Sw,Puyallup,98371,City of Puyallup,City of Puyallup,8 am to Dusk,8.12,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/decoursey-park/,1,DeCoursey Park,7.24037302,DeCoursey Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2583.33803171231,315332.83938887
73,141,Park,Local,4700 S 12th St,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,10.48,0,http://www.metroparkstacoma.org/delong-park,1,DeLong Park,21.44999669,DeLong Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5431.29533516925,934370.715642264
74,144,Rec Area,TBD,Skansie Ave,Gig Harbor,98332,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District, ,14.92,0, ,1,Peninsula Recreation Area,14.92073847,Peninsula Recreation Area, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3320.7123806806,650028.34416219
78,150,Park,Local,2423 Ruston Way,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,8.79,0,http://www.metroparkstacoma.org/dickman-mill-park,1,Dickman Mill Park,8.79915417,Dickman Mill Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2971.93157979694,383230.174930798
79,153,Rec Center,Special Use,3537 E K St,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,7.29,0,http://www.metroparkstacoma.org/eastside-pool,1,Eastside Pool,7.28402722,Eastside Pool, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3575.3406778609,317290.965394034
80,155,Park,Local,11001 24th Street E,Edgewood,98372,City of Edgewood,City of Edgewood,Dawn to Dusk,4.72,0,http://www.cityofedgewood.org/depts/parks/parks.htm,1,Edgemont Park,4.33117719,Edgemont Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1871.41340122254,188665.304791236
81,156,Park,Local,9102 Edgewater Drive SW,Lakewood,98499,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",1,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Edgewater Park,2.82766775,Edgewater Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2080.7821115162,123152.76613396
84,163,Park,County,4418 Military Road East,Tacoma,98446,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,4,60,https://www.co.pierce.wa.us/6967/Cross-Park,1,Cross Park,61.57230146,Cross Park, ,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64.03, ,Yes,No,10423.6044752166,2682078.74145104
86,165,Trail,Linear,9201 136th St E,Puyallup,98373,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk (unless otherwise posted),1.629,0,http://www.co.pierce.wa.us/pc/abtus/ourorg/parks/SHillPark.htm#Nathan Chapman Memorial Trail,1,Nathan Chapman Memorial Trail,1.62952069,Nathan Chapman Trail, ,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.56,"The Nathan Chapman Memorial Trail cuts through woods and wetlands, joining South Hill Community Park with Heritage Recreation Center, a public athletic complex. The trail is a wide, paved route that connects to a loop trail at South Hill Community Park.",Yes, ,2500.20358328451,70961.8620332668
