y14_School,y14_LuPer,y14_TI,y14_NaPer,y14_LaPer,y14_BlPer,y14_PaPer
Northeast Tacoma,0.542613636,1,0.019886364,0.201704545,0.130681818,0.019886364
OAKLAND HIGH SCHOOL,0.823275862,1,0.017241379,0.159482759,0.267241379,0.038793103
PERRY G KEITHLEY MIDDLE SCHOOL,0.791376912,1,0.005563282,0.203059805,0.148817803,0.07232267
Point Defiance,0.487528345,1,0.013605442,0.099773243,0.113378685,0.009070295
Reed,0.844155844,1,0.004329004,0.363636364,0.25974026,0.025974026
Roosevelt,0.930327869,1,0.020491803,0.274590164,0.286885246,0.06557377
SCIENCE AND MATH INSTITUTE,0.388520971,1,0.008830022,0.066225166,0.119205298,0.01986755
Sheridan,0.87366548,1,0.016014235,0.380782918,0.215302491,0.019572954
Sherman,0.362204724,1,0.007874016,0.094488189,0.076115486,0
Skyline,0.606951872,1,0.00802139,0.125668449,0.160427807,0.016042781
SPANAWAY MIDDLE SCHOOL,0.591471802,1,0.020632737,0.198074278,0.136176066,0.066024759
SPECIAL SERVICES,0.253968254,0,0.015873016,0.079365079,0.174603175,0
STADIUM,0.367795603,1,0.013666072,0.096256684,0.150920974,0.011289364
Stanley,0.838827839,1,0.021978022,0.135531136,0.432234432,0.025641026
Stewart,0.797270955,1,0.023391813,0.161793372,0.292397661,0.01754386
TACOMA SCHOOL OF THE ARTS,0.290448343,0,0.013645224,0.107212476,0.130604288,0.003898635
THOMPSON PRESCHOOL,0.52,0,0,0.24,0.04,0.04
Truman,0.620320856,1,0.010695187,0.088235294,0.188502674,0.014705882
WALLER ROAD ELEMENTARY,0.496621622,1,0.006756757,0.209459459,0.016891892,0.006756757
Washington-Hoyt,0.199040767,0,0,0.069544365,0.064748201,0
WASHINGTON HIGH SCHOOL,0.709969789,1,0.009063444,0.168177241,0.158106747,0.098690836
WAVA,0.140186916,0,0.014018692,0.102803738,0.056074766,0.004672897
Whitman,0.808510638,1,0.004728132,0.163120567,0.241134752,0.037825059
Whittier,0.436440678,1,0,0.11440678,0.184322034,0.014830508
RE-ENGAGEMENT CENTER,0.708737864,0,0.019417476,0.27184466,0.165048544,0.009708738
WILSON,0.461295419,1,0.012638231,0.08135861,0.178515008,0.007109005
